#Release 12.3 - par M.70d (nt64)
#Copyright (c) 1995-2010 Xilinx, Inc.  All rights reserved.

#Fri Jul 22 10:02:42 2011

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Old_School_map.ncd
#OUTPUT FILE:      Old_School_pad.csv
#PART TYPE:        xc3s1000
#SPEED GRADE:      -4
#PACKAGE:          ft256
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C2,RAM_DATA0<5>,IOB,IO_L16N_7,BIDIR,LVCMOS25*,7,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
C3,RAM_DATA1<12>,IOB,IO_L16P_7/VREF_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
C4,,,HSWAP_EN,,,,,,,,,,,,
C5,RED<1>,IOB,IO_L25N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C6,RED<0>,IOB,IO_L28N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C7,BLUE<1>,IOB,IO_L30N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C8,BLUE<0>,IOB,IO_L31P_0/VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
C9,,DIFFS,IO_L32N_1/GCLK5,UNUSED,,1,,,,,,,,,
C10,,IOB,IO,UNUSED,,1,,,,,,,,,
C11,,DIFFM,IO_L29P_1,UNUSED,,1,,,,,,,,,
C12,,DIFFM,IO_L27P_1,UNUSED,,1,,,,,,,,,
C13,,,TMS,,,,,,,,,,,,
C14,,,TCK,,,,,,,,,,,,
C15,,DIFFS,IO_L16N_2,UNUSED,,2,,,,,,,,,
C16,,DIFFM,IO_L01P_2/VRN_2,UNUSED,,2,,,,,,,,,
D1,RAM_DATA1<7>,IOB,IO_L17N_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
D2,RAM_DATA1<8>,IOB,IO_L17P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
D3,RAM_DATA0<8>,IOB,IO_L19P_7,TRISTATE,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D4,,,VCCINT,,,,,,,,1.2,,,,
D5,,IOB,IO/VREF_0,UNUSED,,0,,,,,,,,,
D6,GREEN<1>,IOB,IO_L27P_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D7,,DIFFM,IO_L29P_0,UNUSED,,0,,,,,,,,,
D8,,DIFFS,IO_L31N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFM,IO_L32P_1/GCLK4,UNUSED,,1,,,,,,,,,
D10,,DIFFS,IO_L30N_1,UNUSED,,1,,,,,,,,,
D11,,DIFFS,IO_L28N_1,UNUSED,,1,,,,,,,,,
D12,,IOB,IO/VREF_1,UNUSED,,1,,,,,,,,,
D13,,,VCCINT,,,,,,,,1.2,,,,
D14,DIGIT_N<0>,IOB,IO_L16P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
D15,,DIFFS,IO_L17N_2,UNUSED,,2,,,,,,,,,
D16,,DIFFM,IO_L17P_2/VREF_2,UNUSED,,2,,,,,,,,,
E1,RAM_DATA1<6>,IOB,IO_L20N_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
E2,RAM_DATA1<9>,IOB,IO_L20P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
E3,RAM_ADDRESS<8>,IOB,IO_L19N_7/VREF_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E4,RAM_ADDRESS<9>,IOB,IO_L21P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFS,IO_L27N_0,UNUSED,,0,,,,,,,,,
E7,GREEN<0>,IOB,IO_L29N_0,OUTPUT,LVCMOS25*,0,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E8,,,VCCO_0,,,0,,,,,2.50,,,,
E9,,,VCCO_1,,,1,,,,,2.50,,,,
E10,,DIFFM,IO_L30P_1,UNUSED,,1,,,,,,,,,
E11,,DIFFM,IO_L28P_1,UNUSED,,1,,,,,,,,,
E12,,,VCCINT,,,,,,,,1.2,,,,
E13,DIGIT_N<3>,IOB,IO_L19N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E14,SEGMENT_N<6>,IOB,IO_L19P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
E15,,DIFFS,IO_L20N_2,UNUSED,,2,,,,,,,,,
E16,,DIFFM,IO_L20P_2,UNUSED,,2,,,,,,,,,
F1,,,VCCAUX,,,,,,,,2.5,,,,
F2,RAM_DATA0<10>,IOB,IO_L22N_7,TRISTATE,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F3,RAM_ADDRESS<6>,IOB,IO_L22P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F4,RAM_ADDRESS<7>,IOB,IO_L21N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F5,RAM_DATA1<11>,IOB,IO_L23P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
F6,,,GND,,,,,,,,,,,,
F7,,,VCCO_0,,,0,,,,,2.50,,,,
F8,,,VCCO_0,,,0,,,,,2.50,,,,
F9,,,VCCO_1,,,1,,,,,2.50,,,,
F10,,,VCCO_1,,,1,,,,,2.50,,,,
F11,,,GND,,,,,,,,,,,,
F12,SWITCH<0>,IOB,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
F13,SEGMENT_N<1>,IOB,IO_L21P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F14,DIGIT_N<2>,IOB,IO_L22N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
F15,,DIFFM,IO_L22P_2,UNUSED,,2,,,,,,,,,
F16,,,VCCAUX,,,,,,,,2.5,,,,
G1,RAM_DATA1<10>,IOB,IO_L40P_7,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
G2,RAM_DATA1<5>,IOB,IO,INPUT,LVCMOS25*,7,,,,NONE,,LOCATED,NO,NONE,
G3,RAM_RW_N,IOB,IO_L24N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G4,RAM_ADDRESS<5>,IOB,IO_L24P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G5,RAM_ADDRESS<10>,IOB,IO_L23N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G6,,,VCCO_7,,,7,,,,,2.50,,,,
G7,,,GND,,,,,,,,,,,,
G8,,,GND,,,,,,,,,,,,
G9,,,GND,,,,,,,,,,,,
G10,,,GND,,,,,,,,,,,,
G11,,,VCCO_2,,,2,,,,,2.50,,,,
G12,SWITCH<1>,IOB,IO_L23N_2/VREF_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
G13,SEGMENT_N<5>,IOB,IO_L23P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G14,DIGIT_N<1>,IOB,IO_L24N_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,LOCATED,NO,NONE,
G15,,DIFFM,IO_L24P_2,UNUSED,,2,,,,,,,,,
G16,,DIFFM,IO,UNUSED,,2,,,,,,,,,
H1,RAM_DATA0<11>,IOB,IO_L40N_7/VREF_7,TRISTATE,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H2,,,GND,,,,,,,,,,,,
H3,RAM_ADDRESS<11>,IOB,IO_L39N_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H4,RAM_ADDRESS<12>,IOB,IO_L39P_7,OUTPUT,LVCMOS25*,7,12,SLOW,NONE**,,,LOCATED,NO,NONE,
H5,,,VCCO_7,,,7,,,,,2.50,,,,
H6,,,VCCO_7,,,7,,,,,2.50,,,,
H7,,,GND,,,,,,,,,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,VCCO_2,,,2,,,,,2.50,,,,
H12,,,VCCO_2,,,2,,,,,2.50,,,,
H13,SWITCH<3>,IOB,IO_L39N_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
H14,SWITCH<2>,IOB,IO_L39P_2,INPUT,LVCMOS25*,2,,,,NONE,,LOCATED,NO,NONE,
H15,,DIFFS,IO_L40N_2,UNUSED,,2,,,,,,,,,
H16,,DIFFM,IO_L40P_2/VREF_2,UNUSED,,2,,,,,,,,,
J1,RAM_DATA1<4>,IOB,IO_L40P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
J2,RAM_DATA0<12>,IOB,IO_L40N_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J3,RAM_ADDRESS<14>,IOB,IO_L39P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J4,RAM_ADDRESS<13>,IOB,IO_L39N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
J5,,,VCCO_6,,,6,,,,,2.50,,,,
J6,,,VCCO_6,,,6,,,,,2.50,,,,
J7,,,GND,,,,,,,,,,,,
J8,,,GND,,,,,,,,,,,,
J9,,,GND,,,,,,,,,,,,
J10,,,GND,,,,,,,,,,,,
J11,,,VCCO_3,,,3,,,,,2.50,,,,
J12,,,VCCO_3,,,3,,,,,2.50,,,,
J13,SWITCH<5>,IOB,IO_L39P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
J14,SWITCH<4>,IOB,IO_L39N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
J15,,,GND,,,,,,,,,,,,
J16,,DIFFS,IO_L40N_3/VREF_3,UNUSED,,3,,,,,,,,,
K1,RAM_DATA1<3>,IOB,IO,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
K2,RAM_DATA1<13>,IOB,IO_L24P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
K3,RAM_ADDRESS<15>,IOB,IO_L24N_6/VREF_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K4,,DIFFM,IO_L23P_6,UNUSED,,6,,,,,,,,,
K5,RAM_ADDRESS<16>,IOB,IO_L23N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K6,,,VCCO_6,,,6,,,,,2.50,,,,
K7,,,GND,,,,,,,,,,,,
K8,,,GND,,,,,,,,,,,,
K9,,,GND,,,,,,,,,,,,
K10,,,GND,,,,,,,,,,,,
K11,,,VCCO_3,,,3,,,,,2.50,,,,
K12,LED<0>,IOB,IO_L23N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
K13,SWITCH<7>,IOB,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K14,SWITCH<6>,IOB,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
K15,,DIFFS,IO,UNUSED,,3,,,,,,,,,
K16,,DIFFM,IO_L40P_3,UNUSED,,3,,,,,,,,,
L1,,,VCCAUX,,,,,,,,2.5,,,,
L2,RAM_DATA0<13>,IOB,IO_L22P_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L3,RAM_ADDRESS<17>,IOB,IO_L22N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L4,RAM_ADDRESS<4>,IOB,IO_L21P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L5,RAM_ADDRESS<0>,IOB,IO_L21N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L6,,,GND,,,,,,,,,,,,
L7,,,VCCO_5,,,5,,,,,2.50,,,,
L8,,,VCCO_5,,,5,,,,,2.50,,,,
L9,,,VCCO_4,,,4,,,,,2.50,,,,
L10,,,VCCO_4,,,4,,,,,2.50,,,,
L11,,,GND,,,,,,,,,,,,
L12,LED<2>,IOB,IO_L23P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
L13,BUTTON<2>,IOB,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
L14,BUTTON<3>,IOB,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
L15,,DIFFS,IO_L22N_3,UNUSED,,3,,,,,,,,,
L16,,,VCCAUX,,,,,,,,2.5,,,,
M1,RAM_DATA1<14>,IOB,IO_L20P_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
M2,RAM_DATA1<2>,IOB,IO_L20N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
M3,RAM_ADDRESS<3>,IOB,IO_L19P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M4,RAM_ADDRESS<2>,IOB,IO_L19N_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M5,,,VCCINT,,,,,,,,1.2,,,,
M6,,DIFFM,IO_L28P_5/D7,UNUSED,,5,,,,,,,,,
M7,GREEN<2>,IOB,IO_L30P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M8,,,VCCO_5,,,5,,,,,2.50,,,,
M9,,,VCCO_4,,,4,,,,,2.50,,,,
M10,RED<2>,IOB,IO_L29N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
M11,,DIFFS,IO_L27N_4/DIN/D0,UNUSED,,4,,,,,,,,,
M12,,,VCCINT,,,,,,,,1.2,,,,
M13,BUTTON<0>,IOB,IO_L21P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M14,BUTTON<1>,IOB,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M15,ps2_data,IOB,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
M16,ps2_clk,IOB,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,LOCATED,NO,NONE,
N1,RAM_DATA1<15>,IOB,IO_L17P_6/VREF_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
N2,RAM_DATA1<1>,IOB,IO_L17N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
N3,RAM_ADDRESS<1>,IOB,IO_L16P_6,OUTPUT,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N4,,,VCCINT,,,,,,,,1.2,,,,
N5,RAM1_CS_N,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N6,,DIFFS,IO_L28N_5/D6,UNUSED,,5,,,,,,,,,
N7,RAM_DATA0<0>,IOB,IO_L30N_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
N8,BLUE<2>,IOB,IO_L32P_5/GCLK2,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N9,,DIFFS,IO_L31N_4/INIT_B,UNUSED,,4,,,,,,,,,
N10,,DIFFM,IO_L29P_4,UNUSED,,4,,,,,,,,,
N11,,DIFFM,IO_L27P_4/D1,UNUSED,,4,,,,,,,,,
N12,LED<5>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,LED<3>,IOB,IO_L19P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N15,SEGMENT_N<4>,IOB,IO_L17P_3/VREF_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
N16,SEGMENT_N<0>,IOB,IO_L17N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P1,RAM_DATA0<14>,IOB,IO_L01P_6/VRN_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P2,RAM_DATA1<0>,IOB,IO_L16N_6,INPUT,LVCMOS25*,6,,,,NONE,,LOCATED,NO,NONE,
P3,,,M0,,,,,,,,,,,,
P4,,,M2,,,,,,,,,,,,
P5,RAM1_BE0_N,IOB,IO_L27P_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P6,RAM0_BE0_N,IOB,IO_L29P_5/VREF_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P7,RAM0_CS_N,IOB,IO,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P8,RAM_DATA0<9>,IOB,IO_L32N_5/GCLK3,TRISTATE,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P9,,DIFFM,IO_L31P_4/DOUT/BUSY,UNUSED,,4,,,,,,,,,
P10,,DIFFS,IO_L30N_4/D2,UNUSED,,4,,,,,,,,,
P11,LED<7>,IOB,IO_L28N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P12,LED<6>,IOB,IO_L25N_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P13,LED<4>,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P14,LED<1>,IOB,IO_L16P_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P15,SEGMENT_N<3>,IOB,IO_L16N_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
P16,SEGMENT_N<7>,IOB,IO_L01N_3/VRP_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R1,RAM_DATA0<15>,IOB,IO_L01N_6/VRP_6,TRISTATE,LVCMOS25*,6,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R2,,,GND,,,,,,,,,,,,
R3,,DIFFM,IO_L01P_5/CS_B,UNUSED,,5,,,,,,,,,
R4,RAM1_BE1_N,IOB,IO_L10P_5/VRN_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R5,RAM_DATA0<4>,IOB,IO_L27N_5/VREF_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R6,RAM_DATA0<2>,IOB,IO_L29N_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
R7,,DIFFM,IO_L31P_5/D5,UNUSED,,5,,,,,,,,,
R8,,,GND,,,,,,,,,,,,
R9,H_SYNC,IOB,IO_L32N_4/GCLK1,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R10,,DIFFM,IO_L30P_4/D3,UNUSED,,4,,,,,,,,,
R11,BLUE<3>,IOB,IO_L28P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R12,RED<3>,IOB,IO_L25P_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
R13,,DIFFS,IO_L01N_4/VRP_4,UNUSED,,4,,,,,,,,,
R14,,,DONE,,,,,,,,,,,,
R15,,,GND,,,,,,,,,,,,
R16,SEGMENT_N<2>,IOB,IO_L01P_3/VRN_3,OUTPUT,LVCMOS25*,3,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T1,,,GND,,,,,,,,,,,,
T2,,,M1,,,,,,,,,,,,
T3,,DIFFS,IO_L01N_5/RDWR_B,UNUSED,,5,,,,,,,,,
T4,RAM0_BE1_N,IOB,IO_L10N_5/VRP_5,OUTPUT,LVCMOS25*,5,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T5,RAM_DATA0<3>,IOB,IO,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T6,,,VCCAUX,,,,,,,,2.5,,,,
T7,,DIFFS,IO_L31N_5/D4,UNUSED,,5,,,,,,,,,
T8,RAM_DATA0<1>,IOB,IO/VREF_5,BIDIR,LVCMOS25*,5,12,SLOW,NONE**,NONE,,LOCATED,NO,NONE,
T9,CLK50MHZ,IOB,IO_L32P_4/GCLK0,INPUT,LVCMOS25*,4,,,,NONE,,LOCATED,NO,NONE,
T10,V_SYNC,IOB,IO/VREF_4,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T11,,,VCCAUX,,,,,,,,2.5,,,,
T12,GREEN<3>,IOB,IO,OUTPUT,LVCMOS25*,4,12,SLOW,NONE**,,,LOCATED,NO,NONE,
T13,,DIFFM,IO_L01P_4/VRN_4,UNUSED,,4,,,,,,,,,
T14,,DIFFS,IO,UNUSED,,4,,,,,,,,,
T15,,,CCLK,,,,,,,,,,,,
T16,,,GND,,,,,,,,,,,,

# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
# 
#* Default value.
#** This default Pullup/Pulldown value can be overridden in Bitgen. 
#****** Special VCCO requirements may apply. Please consult the device 
#       family datasheet for specific guideline on VCCO requirements. 
#
#
#
